,depth_in_subtree,height_in_subtree,idea,idea_label,idea_probability,is_leaf,is_root,num_children,num_ideas_under,num_instances,num_instances_under,num_nodes_under,num_workers,parent,question_code,subtree_probability,subtree_root,subtree_oscore,idea_oscore
0,0,1,1178629,ask about family,0.002600780234070221,False,True,7,6,6,34,8,6,-1,forgot_name,0.014737754659731253,1178629,0.9852622453402687,0.9973992197659298
1,1,0,1178630,ask about family history,0.0013003901170351106,True,False,0,3,3,3,1,3,1178629,forgot_name,0.014737754659731253,1178629,0.9852622453402687,0.9986996098829649
2,1,0,1178631,ask about family tree,0.0008669267446900737,True,False,0,2,2,2,1,2,1178629,forgot_name,0.014737754659731253,1178629,0.9852622453402687,0.99913307325531
3,1,0,1178632,ask about origin,0.002167316861725184,True,False,0,5,5,5,1,3,1178629,forgot_name,0.014737754659731253,1178629,0.9852622453402687,0.9978326831382748
4,1,0,1178633,ask about relatives,0.0013003901170351106,True,False,0,3,3,3,1,2,1178629,forgot_name,0.014737754659731253,1178629,0.9852622453402687,0.9986996098829649
5,1,0,1178634,ask family members name,0.005201560468140442,True,False,0,12,12,12,1,6,1178629,forgot_name,0.014737754659731253,1178629,0.9852622453402687,0.9947984395318595
6,1,0,1178635,ask to see family pictures,0.0008669267446900737,True,False,0,2,2,2,1,2,1178629,forgot_name,0.014737754659731253,1178629,0.9852622453402687,0.99913307325531
7,1,0,1178636,,0.00043346337234503684,True,False,0,1,1,1,1,1,1178629,forgot_name,0.014737754659731253,1178629,0.9852622453402687,0.9995665366276549
8,0,0,1178637,ask about heritage,0.00043346337234503684,True,True,0,1,1,1,1,1,-1,forgot_name,0.00043346337234503684,1178637,0.9995665366276549,0.9995665366276549
9,1,2,1178639,ask about name origin,0.003034243606415258,True,False,0,7,7,7,1,5,1178638,forgot_name,0.15344603381014305,1178638,0.8465539661898569,0.9969657563935848
